Date,Repo Rate,Cerificate of Deposit,Commercial Paper,365- Bill Yield (percent),Loan,Term Deposit (>1 year),Saving Deposit,Call Rate (Per cent per annum)
Jan-11,6.25,8.63,10.93,7.594,10.17,8.13,4,6.54
Feb-11,6.5,10.16,10.93,7.6752,10.17,8.26,4,6.73
Mar-11,6.75,9.8,10.93,7.6404,10.17,8.33,4,7.23
Apr-11,6.75,8.62,10.93,7.6404,10.17,8.34,4,6.57
May-11,7.25,9.08,10.93,8.2947,10.17,8.4,4,7.23
Jun-11,7.5,9.76,10.93,8.2947,10.17,8.46,4,7.48
Jul-11,8,9.06,10.78,8.495,10.17,8.53,4,7.62
Aug-11,8,9.31,11.09,8.3065,10.17,8.57,4,7.97
Sep-11,8.25,9.4,11.17,8.4595,10.17,8.67,4,8.11
Oct-11,8.5,9.45,11.13,8.684,10.17,8.69,4,8.26
Nov-11,8.5,9.56,11.25,8.4477,10.17,8.75,4,8.58
Dec-11,8.5,9.83,11.19,8.3535,10.17,8.75,4,9.04
Jan-12,8.5,9.79,10.96,8.4713,10.6,8.75,4,8.92
Feb-12,8.5,9.98,11.61,8.5067,10.6,8.8125,4,8.81
Mar-12,8.5,10.6,12.5,8.4006,10.6,8.875,4,9.17
Apr-12,8,9.8,11.14,8.1656,10.6,8.875,4,8.62
May-12,8,9.48,11.45,8.283,10.6,8.8625,4,8.27
Jun-12,8,9.39,11.75,8.1187,10.6,8.8625,4,8.14
Jul-12,8,9.2,10.97,7.9782,10.6,8.8625,4,8.05
Aug-12,8,8.85,11.09,8.1187,10.6,8.775,4,7.99
Sep-12,8,8.66,11.42,8.0601,10.6,8.875,4,7.92
Oct-12,8,8.73,10.32,8.1069,10.6,8.78125,4,8
Nov-12,8,8.6,10.96,8.1069,10.6,8.75,4,8.04
Dec-12,8,8.69,11.48,8.0133,10.6,8.75,4,8.05
Jan-13,8,8.69,10.67,7.8382,10.3,8.75,4,8
Feb-13,7.5,8.93,10.99,7.8965,10.6,8.25,4,7.8
Mar-13,7.5,9.46,10.74,7.7916,11.457,8.25,4,7.9
Apr-13,7.5,8.61,10.58,7.478,11.457,8.25,4,7.53
May-13,7.25,8.94,10.5,7.2931,11.457,8.25,4,7.29
Jun-13,7.25,8.33,10.15,7.5012,11.223,8.25,4,7.24
Jul-13,7.25,8.88,9.9,10.4649,11.223,8.25,4,7.76
Aug-13,7.25,10.67,11.91,9.9415,11.223,8.4,4,9.9
Sep-13,7.5,10.56,11.54,9.4591,12.107,8.5,4,9.97
Oct-13,7.5,9.38,10.51,8.5776,12.107,8.525,4,9.03
Nov-13,7.75,9.16,10.6,8.9332,12.107,8.525,4,8.45
Dec-13,7.75,8.86,10.51,8.8381,11.607,8.525,4,8.16
Jan-14,8,9.06,10.25,8.6722,11.607,8.54,4,8.19
Feb-14,8,9.32,10.45,9.0046,11.607,8.55,4,8.21
Mar-14,8,9.65,10.63,8.8857,11.65,8.625,4,8.37
Apr-14,8,9.17,10.94,8.9213,11.65,8.625,4,8.36
May-14,8,8.97,10.61,8.6959,11.65,8.565,4,8
Jun-14,8,8.89,11.16,8.6959,11.517,8.525,4,8.08
Jul-14,8,8.9,9.95,8.6959,11.517,8.525,4,8.27
Aug-14,8,9.34,10.44,8.684,11.517,8.525,4,7.98
Sep-14,8,8.92,10.52,8.6603,11.477,8.525,4,7.8
Oct-14,8,8.65,9.65,8.4124,11.477,8.525,4,7.94
Nov-14,8,8.57,10.27,8.2947,11.477,8.5,4,7.83
Dec-14,8,8.49,10.3,8.2242,11.35,8.5,4,8.11
Jan-15,7.75,8.36,10.58,7.9082,11.35,8.4,4,7.89
Feb-15,7.75,8.42,10.12,8.0367,11.35,8.375,4,7.69
Mar-15,7.5,8.74,11.18,7.9782,11.097,8.375,4,7.58
Apr-15,7.5,8.06,9.94,7.9082,11.097,8.34375,4,7.44
May-15,7.5,8.21,9.95,7.8265,11.097,8.25,4,7.47
Jun-15,7.25,8.09,9.48,7.7217,11.97,8.25,4,7.11
